TaggedPitchType,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,EffectiveVelo,SpeedDrop,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2
Fastball,91.62493,-3.175229,-2.057181,2318.821806,228.440078,1:30,5.91934,1.24084,5.60896,-17.21406,17.12316,17.84343,1.51598,0.80671,82.37883,-6.446784,1.12837,0.421749,-9.74548,10.1069,-1.07683,50,5.63673,3.95545,-132.56821,-7.89845,-17.01536,33.33178,-14.52765,89.37177,9.24611,54.88975,-133.792,16.66589,5.91693,-7.36507,-7.26383,-1.23353,4.58017,-8.50768
Fastball,90.79248,-2.398024,-2.869362,2237.394224,230.825016,1:45,5.85059,1.32409,5.61191,-19.82399,15.09934,16.92084,1.95618,0.05368,81.66574,-6.142002,0.149326,0.425333,-9.52599,8.81134,-1.08999,50,5.6329,5.8252,-131.37998,-6.15565,-16.35712,32.39785,-17.04407,88.61864,9.12674,54.88661,-132.57952,16.19893,5.84913,-5.52459,-8.52203,-1.31688,6.43083,-8.17856
Fastball,91.10563,-3.204241,-4.131131,2362.868504,228.936633,1:45,5.83644,1.31136,5.65214,-18.18985,16.61025,17.52973,1.32115,-1.08758,81.81223,-6.659276,-1.007973,0.424582,-10.33056,9.88627,-0.97235,50,5.5528,8.72783,-131.57915,-7.95854,-17.76783,32.84917,-15.17032,88.77538,9.2934,54.84727,-132.78377,16.42458,5.83445,-7.40222,-7.58516,-1.30436,9.37939,-8.88392
Fastball,90.85957,-2.947851,-3.51182,2354.00486,227.168251,1:30,5.81931,1.22189,5.64569,-17.95454,16.8006,16.74914,1.56573,-0.66229,82.01727,-6.351102,-0.525013,0.424308,-9.65875,9.83524,-0.93466,50,5.55741,7.32606,-131.41432,-7.34663,-16.66191,31.36755,-15.20767,88.8328,8.8423,54.85408,-132.56788,15.68377,5.81731,-6.78736,-7.60384,-1.21535,7.93882,-8.33096
Slider,85.08454,-2.677574,-1.724194,1153.362016,226.187645,1:30,5.78121,1.17183,5.58746,-27.10907,12.14631,11.30016,1.0188,0.50294,77.80941,-7.691693,0.294253,0.450942,-6.2937,7.31311,-1.03153,50,5.53344,3.25495,-123.36613,-6.6692,-9.65374,25.61691,-20.95662,83.58594,7.27513,54.91364,-124.38225,12.80846,5.7815,-5.83793,-10.47831,-1.16824,3.63788,-4.82687
ChangeUp,84.04005,-1.260802,-1.377307,1318.85069,207.981558,1:00,5.83351,1.10309,5.67869,-22.91978,17.11635,8.388,2.74765,0.51788,76.58827,-5.567205,0.122238,0.455405,-4.63945,9.44674,-0.99226,50,5.71298,2.58396,-121.93225,-3.38041,-6.95778,24.83619,-18.00685,82.76694,7.45178,54.81912,-122.90993,12.4181,5.8321,-2.67157,-9.00343,-1.09937,2.85785,-3.47889
Fastball,91.84824,-1.650306,-2.893351,2361.186892,225.443862,1:30,5.75661,1.22129,5.8439,-16.94359,16.57217,15.64721,2.80856,-0.16598,83.16968,-4.879748,-0.091123,0.416674,-8.82083,9.2902,-0.99459,50,5.6122,6.02686,-133.11429,-4.35204,-15.69095,30.86753,-15.6482,90.46033,8.67857,54.65444,-134.18926,15.43377,5.75427,-3.80709,-7.8241,-1.21399,6.5733,-7.84548
ChangeUp,86.93613,-4.275174,-2.574439,1440.557345,206.936196,1:00,5.78239,1.15693,5.51826,-19.48517,18.17875,8.6167,0.14975,-0.5338,79.81481,-7.903828,-1.039655,0.441707,-5.11544,10.7593,-0.93874,50,5.3963,5.2996,-125.82073,-10.03745,-8.21057,25.2265,-14.90469,85.3336,7.12131,54.98325,-126.81592,12.61325,5.78068,-9.44946,-7.45234,-1.1542,5.6235,-4.10529
Fastball,92.29601,0.083653,-1.01191,2378.203728,232.039103,1:45,5.81525,1.23416,5.62637,-18.12733,15.44414,18.25851,4.38271,1.81135,83.07909,-3.36183,2.248468,0.41702,-9.52693,8.13107,-1.15972,50,5.81106,1.518,-133.84066,-0.38919,-17.02251,32.91837,-17.64565,90.38528,9.21691,54.87147,-135.03349,16.45919,5.81357,0.25022,-8.82283,-1.22591,2.13483,-8.51126
Fastball,90.23702,-1.93877,-2.255952,2332.489563,216.174722,1:15,5.83288,1.22568,5.50608,-16.7158,18.89103,12.80276,2.62458,0.18163,80.73471,-5.143025,0.023723,0.429475,-7.20898,10.5669,-1.03749,50,5.65277,4.55644,-130.55868,-4.92504,-12.1733,33.04141,-14.33045,87.76394,9.50231,54.99041,-131.81558,16.52071,5.82975,-4.3799,-7.16522,-1.21963,5.01952,-6.08665
ChangeUp,85.52726,-2.826718,-2.081448,1212.6908,208.791203,1:00,5.77164,1.30037,5.65311,-23.14399,15.78465,7.93245,1.20269,0.01924,77.81978,-7.153656,-0.664126,0.449062,-4.7067,9.27997,-1.12927,50,5.51737,4.18173,-123.9202,-6.85257,-7.25493,26.78164,-17.86987,83.936,7.70749,54.84727,-124.9634,13.39082,5.77073,-6.1565,-8.93493,-1.29766,4.46432,-3.62747
Slider,83.8081,-0.011753,-1.041505,995.563783,261.300138,2:45,5.78783,1.20945,5.36301,-37.78341,2.95764,10.59619,2.62819,1.1157,76.49864,-6.929693,0.843686,0.459396,-5.62524,1.88492,-1.12373,50,5.75998,1.76145,-121.61729,-1.3835,-8.38132,25.00732,-29.3656,82.04775,7.30945,55.13691,-122.66901,12.50366,5.7922,-0.14849,-14.6828,-1.20523,2.11394,-4.19066
Fastball,91.61092,-0.862855,-3.100151,2298.747068,232.831219,1:45,5.74393,1.22247,5.70579,-19.37387,14.64997,17.70005,3.32423,-0.19393,82.51412,-4.533702,0.061023,0.41982,-9.98001,8.07012,-0.97363,50,5.65974,6.39192,-132.7081,-2.62986,-17.54822,32.11604,-17.98405,89.7824,9.0968,54.79309,-133.86303,16.05802,5.74268,-1.98314,-8.99202,-1.21483,7.02298,-8.77411
Fastball,90.08345,-1.654715,-2.829527,2255.253095,222.275549,1:30,5.74295,1.27674,5.65554,-15.45717,19.79434,16.83103,2.9093,0.03828,81.16732,-4.629185,0.174047,0.427327,-9.3641,10.89855,-1.04755,50,5.59306,5.68505,-130.45332,-4.20886,-15.92547,30.79614,-13.63893,88.20518,8.91613,54.84183,-131.59137,15.39807,5.73928,-3.70485,-6.81947,-1.26851,6.27357,-7.96274
Fastball,90.90689,-2.248203,-4.045417,2283.217448,219.189395,1:15,5.78359,1.19156,5.926,-15.61997,18.76757,14.26816,2.38951,-1.37946,81.86792,-5.259107,-1.491573,0.422058,-8.54544,10.66812,-0.87537,50,5.59446,8.66868,-131.48193,-5.60305,-14.75213,31.47679,-13.75747,89.30635,9.03897,54.5713,-132.57178,15.7384,5.78021,-5.12672,-6.87873,-1.18436,9.17946,-7.37606
Fastball,90.94871,-0.711284,-3.221689,2374.835756,223.346223,1:30,5.68363,1.28528,5.81093,-16.32351,18.20088,15.96182,3.66081,-0.38364,81.54251,-3.857405,-0.366786,0.422897,-9.12347,9.85001,-1.03014,50,5.61567,6.68898,-131.67249,-2.10058,-15.73786,32.50798,-15.18291,89.12913,9.40621,54.68552,-132.82424,16.25399,5.68056,-1.56265,-7.59145,-1.27701,7.24657,-7.86893
Fastball,92.35834,-0.992818,-2.036925,2343.727074,217.413924,1:15,5.75238,1.03567,5.66768,-14.58052,19.10981,13.64028,3.61094,0.27229,82.6627,-3.817609,0.399376,0.417757,-7.56083,10.36394,-0.87214,50,5.65959,4.12359,-133.76052,-2.73055,-13.42355,34.24735,-13.77386,90.22567,9.69565,54.82861,-134.99115,17.12368,5.74882,-2.23561,-6.88693,-1.02898,4.60595,-6.71178
Fastball,89.84095,-1.078655,-2.681826,2115.671784,203.055628,12:45,6.26897,0.33617,6.23622,-11.21481,23.56556,9.47989,4.33814,-1.34962,80.58848,-3.329202,-0.972269,0.424462,-5.73296,12.86036,-0.14025,50,6.18239,5.69272,-130.1931,-2.64778,-9.66857,31.77431,-10.48513,88.80055,9.25247,54.25916,-131.22845,15.88716,6.2631,-2.30613,-5.24257,-0.33088,6.00776,-4.83428
Fastball,89.09548,-1.616613,-1.098375,2086.431536,198.00875,12:30,6.13592,0.3896,6.18896,-12.34367,23.0993,7.07516,3.61396,-0.03508,79.89505,-4.071566,0.178187,0.428486,-4.0287,12.87434,-0.31026,50,6.00774,2.18483,-129.199,-3.90032,-6.6729,31.95844,-10.84987,87.9666,9.20043,54.30823,-130.26032,15.97922,6.13128,-3.54,-5.42493,-0.3865,2.40643,-3.33645
